"Line","value"
"p.25201",47.1339863221596
"p.25201",46.7448458522283
"p.25201",30.6853027680965
"p.25201",43.3575381817768
"p.25201",49.9699662452731
"p.25201",48.2683782914046
"p.25201",68.6874337378281
"p.25201",42.0292224605532
"p.25201",53.9403381376335
"p.25201",33.0504448416894
"p.25201",43.1068948313373
"p.25201",8.49246423091726
"p.25201",30.0613871850113
"p.25201",46.841626071384
"p.25201",28.9269952157657
"p.25201",38.3733568952557
"p.25201",37.5265299776429
"p.25201",24.3402251176714
"p.25201",28.4533844317914
"p.25201",19.3802388859392
"p.25201",24.3402251176714
"p.25201",17.6865850507139
"p.25201",20.2270658035521
"p.25201",27.3646069662889
"p.25201",30.388988814906
"p.25201",30.75191463674
"p.25201",32.4078127001365
"p.25201",35.8137293214885
"p.25201",23.9859097818846
"p.25201",22.592580254968
"p.25201",34.0075614162258
"p.25201",41.1290234426896
"p.25201",37.8263164159235
"p.25201",35.5557053350224
"p.25201",28.9837148142279
"p.25201",9.69905133705083
"p.25201",39.1932425374389
"p.25201",42.596418445176
"p.25201",38.6260465528164
"p.25201",47.1339863221596
"p.25201",29.5509107988508
"p.25201",37.4916545835711
"p.25201",27.8493228449822
"p.25201",22.7445589833765
"p.25203",31.3408863875705
"p.25203",35.1864845444745
"p.25203",26.5154239115583
"p.25203",15.1903589168352
"p.25203",22.4285526308535
"p.25203",25.5798750641678
"p.25203",36.4125459286858
"p.25203",21.0498490662788
"p.25203",31.2916469745497
"p.25203",36.1663488635828
"p.25203",33.5074205604741
"p.25203",59.0872956246418
"p.25203",48.3826472339778
"p.25203",71.8895430099805
"p.25203",52.1937778017675
"p.25203",66.6701652298041
"p.25203",20.6066943490941
"p.25203",67.6057140771943
"p.25203",61.4476466399747
"p.25203",51.0455144862613
"p.25203",53.1902840024915
"p.25203",46.5432223897604
"p.25203",37.5926026994218
"p.25203",48.9623087925549
"p.25203",40.0116891022157
"p.25203",43.8822273466866
"p.25203",47.9946742314375
"p.25203",63.2349185690402
"p.25203",53.8004815981435
"p.25203",42.67268414529
"p.25203",34.2058817355103
"p.25203",47.9946742314375
"p.25203",44.3660446272458
"p.25203",58.1548371231729
"p.25203",46.0594051092014
"p.25203",32.5125212535539
"p.25203",55.25193343982
"p.25203",36.3830594980248
"p.25203",29.5442000860609
"p.25203",21.5013144002005
"p.25203",33.8337391185199
"p.25203",52.976333295384
"p.25203",45.4457049530249
"p.25203",25.1457502910106
"p.25203",49.0473098124143
"p.25203",61.2709384261001
"p.25203",69.5655435568149
"p.25203",52.5397751306102
"p.25203",39.7704488109563
"p.25203",64.4359851207144
"p.25203",59.9612639317762
"p.25203",55.1591241192565
"p.25203",46.3188212825734
"p.25203",62.9080315440043
"p.25203",70.4386598863635
"p.25203",62.7988920028098
"p.25203",67.4918922741353
"p.25203",59.3064266846146
"p.25203",40.8618442228919
"p.25203",35.1865880808239
"p.25203",68.6924272272663
"p.25203",40.4289053809255
"p.25203",37.7479434856388
"p.25203",54.3699072364167
"p.25203",22.198364492975
"p.25203",55.9784843735892
"p.25203",45.2546367924417
"p.25203",44.718444413385
"p.25203",23.8069416301471
"p.25203",47.9355986877282
"p.25203",30.7774425578929
"p.25203",32.3860196950652
"p.25203",26.487903525434
"p.25203",43.1098672762126
"p.25203",32.3860196950652
"p.25203",21.6621721139176
"p.25203",19.5174025976882
"p.25203",29.7050577997782
"p.25203",32.9222120741221
"p.25203",40.47479750288
"p.25203",33.4828008539636
"p.25203",30.3807178336702
"p.25203",30.9223513768958
"p.25203",49.5348494986576
"p.25203",11.6254254141482
"p.25203",61.4689854950013
"p.25203",33.1656745823086
"p.25203",50.341188042147
"p.25203",27.8436844961614
"p.25203",64.8557064589132
"p.25203",51.0669139629853
"p.25203",48.164010279633
"p.25203",45.2611065962799
"p.25203",33.8914005031467
"p.28135",43.0189632297478
"p.28135",35.3719972073506
"p.28135",22.6541368413516
"p.28135",37.6182934764299
"p.28135",34.8940618309508
"p.28135",31.2617529703124
"p.28135",34.8223715244909
"p.28135",57.7489315303904
"p.28135",42.0869892457682
"p.28135",37.5466031699702
"p.28135",32.5282817177723
"p.28135",57.6185919299262
"p.28135",55.7692077381658
"p.28135",40.768647071674
"p.28135",35.2204944963958
"p.28135",34.8095202315597
"p.28135",35.0150073639779
"p.28135",37.2753658205723
"p.28135",90.2910459843421
"p.28135",77.1398695096076
"p.28135",54.9472592084953
"p.28135",50.4265422953058
"p.28135",68.9203842128994
